GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,BLCK_GRPA,AIANHHA,URBRURALA,NAME,HD1001,HD1002,HD1003,HD1004,HD1005,HD1006,HD1007,HD1008,HD1009,HD1010,HD1011,HD1012,HD1013,HD1014,HD1015,HD1016,HD1017,HD1018,HD1019,HD1020,HD1021,HD1022,HD1023,HD1024,HD1025,HD1026,HD1027,HD1028,HD1029,HD1030,HD1031,HD1032
"G41000109501001","2000","Oregon","41","Baker","001",,,"950100","1",,,"Block Group 1",2,0,0,6,15,5,25,11,136,53,66,24,31,11,0,0,2,0,0,11,9,9,12,21,124,32,71,23,21,19,3,0
"G41000109501002","2000","Oregon","41","Baker","001",,,"950100","2",,,"Block Group 2",0,3,6,5,1,10,29,10,94,20,56,4,39,25,0,2,0,0,0,13,1,6,4,4,99,63,56,7,13,32,2,3
"G41000109501003","2000","Oregon","41","Baker","001",,,"950100","3",,,"Block Group 3",0,0,0,9,0,0,8,7,63,28,64,40,110,17,16,0,0,2,0,6,0,14,0,0,66,44,78,69,43,22,12,2
"G41000109502001","2000","Oregon","41","Baker","001",,,"950200","1",,,"Block Group 1",0,0,0,0,0,0,22,5,44,0,51,12,31,5,0,0,0,0,0,0,8,7,0,0,101,54,16,7,25,8,0,0
"G41000109502002","2000","Oregon","41","Baker","001",,,"950200","2",,,"Block Group 2",0,0,0,0,6,32,0,10,40,12,19,0,40,4,4,0,0,0,0,5,5,5,0,12,69,11,50,6,13,14,0,0
"G41000109502003","2000","Oregon","41","Baker","001",,,"950200","3",,,"Block Group 3",8,14,16,23,0,15,4,16,97,47,30,18,39,4,6,0,0,0,0,39,17,36,0,4,144,36,88,16,29,0,0,0
"G41000109502004","2000","Oregon","41","Baker","001",,,"950200","4",,,"Block Group 4",5,0,0,15,12,0,14,13,50,65,81,23,50,6,0,0,0,0,0,9,7,0,33,35,99,48,29,20,58,23,0,0
"G41000109503001","2000","Oregon","41","Baker","001",,,"950300","1",,,"Block Group 1",0,5,0,10,12,18,13,4,82,30,17,9,31,9,0,0,0,0,11,4,31,17,15,7,94,32,30,33,25,5,0,0
"G41000109503002","2000","Oregon","41","Baker","001",,,"950300","2",,,"Block Group 2",0,0,0,30,5,0,27,30,164,58,65,5,45,10,7,0,0,0,6,6,0,11,37,23,174,68,45,10,34,18,0,0
"G41000109503003","2000","Oregon","41","Baker","001",,,"950300","3",,,"Block Group 3",9,1,7,10,9,8,17,7,89,35,31,14,14,4,0,0,2,0,2,9,6,17,7,10,94,34,25,12,4,2,0,0
"G41000109504001","2000","Oregon","41","Baker","001",,,"950400","1",,,"Block Group 1",0,0,0,14,5,29,17,4,104,30,40,37,51,23,0,0,10,0,0,21,5,24,14,24,156,60,72,41,69,5,32,0
"G41000109504002","2000","Oregon","41","Baker","001",,,"950400","2",,,"Block Group 2",0,0,17,12,26,0,0,0,81,40,21,13,41,15,0,0,0,0,0,6,27,11,21,23,84,30,44,9,37,0,0,0
"G41000109504003","2000","Oregon","41","Baker","001",,,"950400","3",,,"Block Group 3",6,0,0,13,13,14,28,12,134,38,20,22,6,6,0,0,0,0,0,31,0,5,37,11,119,51,49,0,18,6,6,0
"G41000109505001","2000","Oregon","41","Baker","001",,,"950500","1",,,"Block Group 1",0,0,12,12,19,20,0,35,165,32,122,25,137,19,26,0,0,0,7,18,10,8,14,14,237,83,126,20,100,23,5,0
"G41000109505002","2000","Oregon","41","Baker","001",,,"950500","2",,,"Block Group 2",49,7,0,7,22,26,25,23,49,22,66,0,0,0,0,0,7,0,0,26,14,7,0,22,97,0,31,7,23,0,0,0
"G41000109506001","2000","Oregon","41","Baker","001",,,"950600","1",,,"Block Group 1",0,0,0,7,3,4,2,0,81,17,36,15,45,11,3,9,0,0,0,2,0,4,4,10,47,32,45,10,32,19,6,2
"G41000109506002","2000","Oregon","41","Baker","001",,,"950600","2",,,"Block Group 2",2,0,2,17,3,16,6,7,48,25,23,14,21,12,2,0,0,0,0,12,3,4,9,8,87,22,46,11,18,4,2,0
"G41000109506003","2000","Oregon","41","Baker","001",,,"950600","3",,,"Block Group 3",0,2,6,20,7,2,7,6,74,21,43,16,15,4,2,0,0,0,6,6,9,2,4,0,77,33,39,11,15,0,5,0
"G41000109506004","2000","Oregon","41","Baker","001",,,"950600","4",,,"Block Group 4",0,0,0,8,2,7,7,0,49,13,40,9,12,10,0,2,0,2,0,3,8,14,4,2,60,13,40,2,24,3,3,0
"G41000300001001","2000","Oregon","41","Benton","003",,,"000100","1",,,"Block Group 1",0,0,17,0,7,0,0,0,52,36,14,45,57,52,0,24,0,0,7,0,9,11,4,14,77,24,62,28,86,60,0,0
"G41000300001002","2000","Oregon","41","Benton","003",,,"000100","2",,,"Block Group 2",9,9,19,19,0,5,4,4,125,5,43,16,90,8,0,0,0,11,27,10,12,36,43,0,70,24,45,42,49,13,0,6
"G41000300001003","2000","Oregon","41","Benton","003",,,"000100","3",,,"Block Group 3",0,0,8,0,0,0,11,0,86,0,100,98,185,40,0,23,0,0,0,11,0,0,4,0,93,52,103,41,120,37,17,0
"G41000300001004","2000","Oregon","41","Benton","003",,,"000100","4",,,"Block Group 4",0,0,4,0,0,0,9,0,96,39,64,10,110,23,0,0,0,0,20,11,0,0,0,24,108,40,38,35,61,16,9,19
"G41000300002001","2000","Oregon","41","Benton","003",,,"000200","1",,,"Block Group 1",0,0,0,6,0,5,0,0,28,23,66,13,87,86,18,100,0,0,0,0,0,0,6,0,61,46,79,30,135,82,6,13
"G41000300002002","2000","Oregon","41","Benton","003",,,"000200","2",,,"Block Group 2",0,0,0,0,0,0,0,20,115,52,139,76,289,135,25,52,0,0,0,4,0,0,13,28,93,64,149,46,323,169,13,34
"G41000300003001","2000","Oregon","41","Benton","003",,,"000300","1",,,"Block Group 1",0,0,0,8,4,0,8,0,91,30,87,29,146,155,17,78,0,0,0,10,0,0,0,5,125,53,100,72,118,118,8,22
"G41000300003002","2000","Oregon","41","Benton","003",,,"000300","2",,,"Block Group 2",0,9,0,0,0,7,0,7,39,8,60,21,137,64,23,0,6,0,0,15,0,0,0,0,69,26,53,40,142,56,20,30
"G41000300004001","2000","Oregon","41","Benton","003",,,"000400","1",,,"Block Group 1",6,0,0,0,10,0,0,0,19,4,119,31,168,120,24,80,0,0,20,5,0,12,6,5,54,24,125,34,181,118,14,23
"G41000300004002","2000","Oregon","41","Benton","003",,,"000400","2",,,"Block Group 2",0,0,0,0,8,6,0,13,57,28,7,40,272,130,33,99,0,0,0,0,0,6,0,20,136,65,60,81,219,133,28,59
"G41000300004003","2000","Oregon","41","Benton","003",,,"000400","3",,,"Block Group 3",0,0,0,0,0,0,0,0,27,0,32,16,202,123,7,129,0,0,0,0,0,0,0,0,59,12,64,50,257,151,14,71
"G41000300004004","2000","Oregon","41","Benton","003",,,"000400","4",,,"Block Group 4",26,0,0,0,0,0,0,10,20,11,75,15,108,70,39,105,6,0,0,0,0,0,0,0,36,56,97,0,129,115,22,8
"G41000300005001","2000","Oregon","41","Benton","003",,,"000500","1",,,"Block Group 1",7,0,0,5,0,0,0,0,17,0,32,19,72,22,26,41,0,0,0,6,0,0,0,0,44,10,49,10,95,56,6,16
"G41000300005002","2000","Oregon","41","Benton","003",,,"000500","2",,,"Block Group 2",0,0,0,0,0,8,0,0,16,8,33,27,181,119,26,60,0,0,0,0,0,0,0,0,56,20,83,39,194,99,8,15
"G41000300005003","2000","Oregon","41","Benton","003",,,"000500","3",,,"Block Group 3",0,0,0,7,0,0,0,8,37,19,29,22,92,99,31,20,4,0,0,0,0,0,8,0,43,33,37,37,139,82,7,0
"G41000300006001","2000","Oregon","41","Benton","003",,,"000600","1",,,"Block Group 1",0,0,0,16,0,0,0,8,56,18,114,49,110,53,18,34,0,0,0,0,0,10,0,10,128,86,102,44,128,46,10,10
"G41000300006002","2000","Oregon","41","Benton","003",,,"000600","2",,,"Block Group 2",0,0,9,7,0,11,0,9,68,17,36,27,127,33,0,11,0,0,12,0,0,0,20,15,80,53,64,32,78,30,0,7
"G41000300006003","2000","Oregon","41","Benton","003",,,"000600","3",,,"Block Group 3",0,0,10,25,9,0,22,15,80,23,65,44,138,76,10,13,11,0,0,23,0,0,26,15,138,112,106,60,213,90,9,0
"G41000300007001","2000","Oregon","41","Benton","003",,,"000700","1",,,"Block Group 1",0,0,0,0,0,0,0,0,15,15,57,19,36,10,0,0,0,0,0,6,5,5,0,0,32,16,18,7,27,13,0,0
"G41000300007002","2000","Oregon","41","Benton","003",,,"000700","2",,,"Block Group 2",7,0,0,6,9,0,7,7,36,29,38,32,37,28,0,0,0,0,7,0,6,0,0,0,13,5,30,5,83,7,6,0
"G41000300008011","2000","Oregon","41","Benton","003",,,"000801","1",,,"Block Group 1",0,0,0,0,0,0,0,0,0,0,23,13,105,116,0,82,0,0,0,0,0,0,0,14,121,7,44,25,143,87,0,25
"G41000300008012","2000","Oregon","41","Benton","003",,,"000801","2",,,"Block Group 2",0,0,0,0,0,0,0,0,14,4,39,0,11,56,0,12,0,0,0,0,0,0,0,0,0,8,17,18,56,15,0,17
"G41000300008013","2000","Oregon","41","Benton","003",,,"000801","3",,,"Block Group 3",0,0,0,0,3,0,0,0,0,0,10,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
"G41000300008021","2000","Oregon","41","Benton","003",,,"000802","1",,,"Block Group 1",23,0,0,0,0,0,0,0,46,0,18,20,38,18,11,53,9,0,0,26,0,8,8,0,15,4,15,7,32,9,0,6
"G41000300008022","2000","Oregon","41","Benton","003",,,"000802","2",,,"Block Group 2",0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0
"G41000300008023","2000","Oregon","41","Benton","003",,,"000802","3",,,"Block Group 3",0,0,0,0,0,0,0,7,0,26,22,21,82,48,0,0,0,0,0,0,0,17,7,0,33,0,27,4,45,14,0,0
"G41000300008024","2000","Oregon","41","Benton","003",,,"000802","4",,,"Block Group 4",0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0
"G41000300009001","2000","Oregon","41","Benton","003",,,"000900","1",,,"Block Group 1",0,0,8,4,0,14,0,7,0,0,7,5,116,41,12,65,0,0,4,0,0,0,0,10,40,21,37,8,108,83,27,30
"G41000300009002","2000","Oregon","41","Benton","003",,,"000900","2",,,"Block Group 2",0,0,0,0,0,0,0,0,0,0,42,8,59,35,12,23,0,0,0,0,0,0,0,0,19,23,9,6,77,57,5,20
"G41000300009003","2000","Oregon","41","Benton","003",,,"000900","3",,,"Block Group 3",0,0,0,0,6,11,0,0,49,34,40,47,145,83,9,112,0,0,0,0,11,8,5,0,17,31,74,37,187,117,16,12
"G41000300009004","2000","Oregon","41","Benton","003",,,"000900","4",,,"Block Group 4",0,0,0,0,0,0,0,0,0,34,43,0,105,78,18,59,0,0,0,0,0,0,0,8,29,15,45,16,122,65,11,15
"G41000300009005","2000","Oregon","41","Benton","003",,,"000900","5",,,"Block Group 5",0,0,0,0,0,10,0,0,22,27,51,19,81,31,16,65,0,0,0,0,0,0,11,0,4,25,108,17,107,61,0,29
"G41000300010011","2000","Oregon","41","Benton","003",,,"001001","1",,,"Block Group 1",8,0,10,0,0,0,0,0,52,7,54,28,59,45,0,54,0,0,0,18,8,0,9,15,141,24,86,35,44,42,0,0
"G41000300010012","2000","Oregon","41","Benton","003",,,"001001","2",,,"Block Group 2",0,62,6,17,26,0,0,7,70,9,36,19,41,35,0,7,19,7,25,47,0,18,10,0,62,17,60,37,56,13,0,0
"G41000300010013","2000","Oregon","41","Benton","003",,,"001001","3",,,"Block Group 3",0,0,9,11,0,18,0,32,120,23,65,26,88,47,0,18,0,0,10,15,7,0,11,17,113,41,139,14,95,31,0,9
"G41000300010021","2000","Oregon","41","Benton","003",,,"001002","1",,,"Block Group 1",0,0,0,0,0,0,0,0,51,8,37,19,81,85,0,19,0,0,0,0,0,0,0,0,35,30,79,13,109,30,9,0
"G41000300010022","2000","Oregon","41","Benton","003",,,"001002","2",,,"Block Group 2",0,6,0,0,0,0,0,0,25,8,19,36,111,97,10,22,18,0,0,0,0,0,19,0,23,48,54,15,160,37,0,0
"G41000300010023","2000","Oregon","41","Benton","003",,,"001002","3",,,"Block Group 3",0,0,7,0,0,0,16,0,11,10,39,10,134,22,0,28,0,0,0,9,0,8,0,8,24,48,76,18,63,33,0,17
"G41000300011011","2000","Oregon","41","Benton","003",,,"001101","1",,,"Block Group 1",0,0,0,0,0,0,0,0,19,8,23,34,43,20,0,6,0,0,0,0,0,0,0,0,26,13,13,20,73,20,0,10
"G41000300011012","2000","Oregon","41","Benton","003",,,"001101","2",,,"Block Group 2",0,0,0,0,0,0,0,10,25,10,53,46,53,17,0,0,0,0,0,0,0,0,0,0,27,7,32,0,55,16,3,20
"G41000300011013","2000","Oregon","41","Benton","003",,,"001101","3",,,"Block Group 3",0,0,0,0,0,0,0,0,15,0,12,0,35,29,0,5,0,0,0,0,0,0,0,0,0,9,0,0,14,19,0,0
"G41000300011014","2000","Oregon","41","Benton","003",,,"001101","4",,,"Block Group 4",0,0,10,8,0,0,0,0,9,9,28,0,67,20,0,0,10,0,19,10,0,0,0,0,19,19,0,6,37,7,0,0
"G41000300011021","2000","Oregon","41","Benton","003",,,"001102","1",,,"Block Group 1",0,0,0,0,0,0,0,0,23,7,66,59,64,29,0,24,0,0,0,14,0,0,0,0,33,22,49,25,89,42,0,7
"G41000300011022","2000","Oregon","41","Benton","003",,,"001102","2",,,"Block Group 2",0,0,0,0,0,0,0,0,21,0,89,11,86,52,16,63,0,0,0,0,0,0,16,0,17,21,47,0,111,73,9,0
"G41000300011023","2000","Oregon","41","Benton","003",,,"001102","3",,,"Block Group 3",0,10,0,5,0,9,5,0,35,0,61,6,38,41,6,36,0,4,11,10,0,0,8,0,19,0,59,39,80,36,0,19
"G41000300011024","2000","Oregon","41","Benton","003",,,"001102","4",,,"Block Group 4",0,0,0,0,0,7,0,0,8,13,20,0,75,47,11,7,0,0,0,0,0,0,0,0,0,0,53,0,49,62,0,0
"G41000300101001","2000","Oregon","41","Benton","003",,,"010100","1",,,"Block Group 1",0,0,0,0,0,0,7,0,44,0,76,29,103,0,0,8,0,0,0,0,0,8,0,0,42,57,71,21,92,21,0,8
"G41000300101002","2000","Oregon","41","Benton","003",,,"010100","2",,,"Block Group 2",0,0,0,0,0,8,0,15,86,46,129,36,137,45,17,22,0,0,0,0,0,8,8,7,74,76,122,50,88,52,7,20
"G41000300101003","2000","Oregon","41","Benton","003",,,"010100","3",,,"Block Group 3",0,6,0,7,0,10,0,23,59,77,158,47,124,93,13,42,0,0,0,16,0,0,0,14,154,134,90,26,186,62,0,12
"G41000300101004","2000","Oregon","41","Benton","003",,,"010100","4",,,"Block Group 4",0,0,0,9,0,0,0,0,122,30,106,30,124,49,41,18,0,0,0,0,0,0,0,0,106,88,151,26,142,38,0,0
"G41000300101005","2000","Oregon","41","Benton","003",,,"010100","5",,,"Block Group 5",0,0,0,0,0,0,0,0,59,46,62,16,85,33,16,20,0,0,0,0,0,0,0,0,30,68,96,49,61,34,9,0
"G41000300102001","2000","Oregon","41","Benton","003",,,"010200","1",,,"Block Group 1",0,0,0,0,7,4,7,4,75,5,100,45,145,76,16,23,0,0,0,0,0,2,4,0,82,45,90,50,147,78,6,2
"G41000300102002","2000","Oregon","41","Benton","003",,,"010200","2",,,"Block Group 2",0,0,0,0,0,0,0,0,81,9,41,35,75,66,7,23,0,0,0,0,0,0,0,4,68,24,67,56,85,33,0,13
"G41000300102003","2000","Oregon","41","Benton","003",,,"010200","3",,,"Block Group 3",0,0,0,5,0,5,5,0,85,23,70,32,107,35,6,11,0,0,0,0,12,5,6,7,138,17,81,30,64,22,0,0
"G41000300103001","2000","Oregon","41","Benton","003",,,"010300","1",,,"Block Group 1",0,0,0,13,0,8,0,7,60,22,103,22,102,54,7,52,0,0,6,0,12,0,6,26,80,52,93,32,148,50,0,15
"G41000300103002","2000","Oregon","41","Benton","003",,,"010300","2",,,"Block Group 2",0,0,9,0,17,23,22,18,131,19,32,18,37,8,0,7,0,0,0,4,10,22,38,21,82,10,48,6,58,16,0,14
"G41000300103003","2000","Oregon","41","Benton","003",,,"010300","3",,,"Block Group 3",1,0,12,0,4,0,8,4,50,12,57,26,55,33,0,3,7,0,0,4,4,3,1,7,66,54,50,8,67,29,0,4
"G41000300104001","2000","Oregon","41","Benton","003",,,"010400","1",,,"Block Group 1",0,0,0,0,11,10,2,0,68,6,22,10,80,31,0,37,0,0,0,0,0,0,0,0,47,25,59,10,71,30,25,0
"G41000300104002","2000","Oregon","41","Benton","003",,,"010400","2",,,"Block Group 2",0,0,0,5,0,0,0,7,87,19,54,29,27,15,0,2,0,0,0,6,8,4,5,9,81,24,49,41,27,16,0,0
"G41000300104003","2000","Oregon","41","Benton","003",,,"010400","3",,,"Block Group 3",2,4,6,13,24,7,16,9,166,69,86,29,63,18,7,10,3,1,1,11,11,15,25,16,184,78,58,49,39,23,4,0
"G41000300104004","2000","Oregon","41","Benton","003",,,"010400","4",,,"Block Group 4",0,6,8,2,0,9,8,12,75,9,28,3,18,17,0,10,0,9,9,0,0,3,2,8,60,27,32,23,23,2,0,2
"G41000300105001","2000","Oregon","41","Benton","003",,,"010500","1",,,"Block Group 1",0,0,17,15,12,7,0,11,111,51,111,66,30,27,11,11,0,0,0,8,6,0,0,28,111,51,76,51,98,34,0,0
"G41000300105002","2000","Oregon","41","Benton","003",,,"010500","2",,,"Block Group 2",0,0,5,27,9,8,0,0,55,31,34,28,64,34,6,13,0,0,0,3,6,31,4,7,62,15,76,28,59,20,0,0
"G41000300105003","2000","Oregon","41","Benton","003",,,"010500","3",,,"Block Group 3",0,0,0,2,5,8,0,3,41,26,49,13,21,17,0,7,0,0,0,0,0,12,12,18,75,42,45,16,23,6,0,0
"G41000500201001","2000","Oregon","41","Clackamas","005",,,"020100","1",,,"Block Group 1",0,0,0,0,3,0,0,3,53,31,69,0,221,143,95,18,0,0,0,0,0,0,0,5,65,38,108,58,301,187,26,12
"G41000500201002","2000","Oregon","41","Clackamas","005",,,"020100","2",,,"Block Group 2",0,0,0,0,0,0,0,0,19,14,52,0,142,81,26,0,0,0,0,0,0,0,0,0,86,10,76,30,145,52,12,10
"G41000500201003","2000","Oregon","41","Clackamas","005",,,"020100","3",,,"Block Group 3",0,0,0,6,11,0,0,6,24,11,36,6,107,11,32,19,0,0,0,0,9,0,0,0,48,18,29,17,101,35,8,6
"G41000500202001","2000","Oregon","41","Clackamas","005",,,"020200","1",,,"Block Group 1",0,0,0,8,8,0,8,9,82,33,155,90,342,157,93,16,0,0,0,16,0,4,26,14,142,49,262,21,418,169,55,6
"G41000500202002","2000","Oregon","41","Clackamas","005",,,"020200","2",,,"Block Group 2",5,0,6,7,0,0,0,7,44,0,80,27,86,24,9,8,0,0,0,8,0,0,0,0,82,59,119,7,86,37,0,6
"G41000500202003","2000","Oregon","41","Clackamas","005",,,"020200","3",,,"Block Group 3",0,0,0,0,0,0,16,0,25,0,53,9,199,104,65,9,0,8,0,0,0,0,0,21,43,42,71,43,158,70,24,8
"G41000500202004","2000","Oregon","41","Clackamas","005",,,"020200","4",,,"Block Group 4",0,0,0,0,6,0,0,0,41,8,46,11,111,36,9,0,0,0,0,0,0,0,8,0,17,35,93,24,126,26,0,0
"G41000500203021","2000","Oregon","41","Clackamas","005",,,"020302","1",,,"Block Group 1",0,0,0,0,0,0,0,18,23,32,65,11,137,15,21,0,0,0,0,0,0,0,0,0,21,31,60,47,139,3,8,7
"G41000500203022","2000","Oregon","41","Clackamas","005",,,"020302","2",,,"Block Group 2",0,0,6,5,7,0,24,14,155,42,219,71,227,50,22,22,0,0,0,7,0,20,0,0,137,89,258,99,248,81,19,0
"G41000500203031","2000","Oregon","41","Clackamas","005",,,"020303","1",,,"Block Group 1",0,0,0,0,0,0,9,0,36,28,140,18,326,116,105,13,0,0,0,0,0,10,9,10,63,60,238,54,369,134,26,8
"G41000500203032","2000","Oregon","41","Clackamas","005",,,"020303","2",,,"Block Group 2",0,0,0,0,0,0,0,0,20,37,154,30,445,103,99,45,0,0,0,10,10,0,20,9,104,64,183,62,309,202,62,10
"G41000500203041","2000","Oregon","41","Clackamas","005",,,"020304","1",,,"Block Group 1",0,0,0,0,0,0,5,0,39,8,89,59,451,204,158,23,0,0,0,0,19,0,0,0,42,112,231,88,444,215,60,0
"G41000500203042","2000","Oregon","41","Clackamas","005",,,"020304","2",,,"Block Group 2",0,0,0,0,8,0,8,26,14,47,103,39,154,116,83,30,8,0,0,0,8,0,0,10,70,80,89,45,275,54,37,0
"G41000500204011","2000","Oregon","41","Clackamas","005",,,"020401","1",,,"Block Group 1",0,0,0,0,6,0,0,15,38,36,119,22,88,78,38,19,0,0,0,0,0,6,0,0,58,27,117,24,150,15,24,10
"G41000500204012","2000","Oregon","41","Clackamas","005",,,"020401","2",,,"Block Group 2",0,0,0,0,6,0,13,0,8,22,23,44,60,0,17,0,0,0,0,0,0,0,8,13,33,0,54,38,118,20,0,0
"G41000500204013","2000","Oregon","41","Clackamas","005",,,"020401","3",,,"Block Group 3",0,0,0,0,0,0,14,9,65,43,80,29,177,39,0,7,0,0,0,6,0,0,0,27,79,76,149,48,93,28,16,6
"G41000500204014","2000","Oregon","41","Clackamas","005",,,"020401","4",,,"Block Group 4",0,0,0,0,0,0,0,4,46,53,97,26,214,65,11,0,0,0,0,0,0,0,2,2,46,75,108,28,253,67,41,0
"G41000500204021","2000","Oregon","41","Clackamas","005",,,"020402","1",,,"Block Group 1",0,0,0,0,0,0,0,17,26,8,127,0,266,120,73,25,0,6,0,0,0,0,0,0,91,28,114,0,304,83,41,28
"G41000500204022","2000","Oregon","41","Clackamas","005",,,"020402","2",,,"Block Group 2",0,0,0,0,0,0,0,0,10,6,45,26,242,125,88,44,0,0,0,0,0,0,0,0,33,20,135,63,256,99,37,16
"G41000500204023","2000","Oregon","41","Clackamas","005",,,"020402","3",,,"Block Group 3",0,9,0,0,0,0,0,17,58,45,91,23,457,303,126,48,0,0,0,0,0,8,0,8,110,41,181,67,510,248,15,0
"G41000500205011","2000","Oregon","41","Clackamas","005",,,"020501","1",,,"Block Group 1",0,0,0,0,0,0,9,61,132,64,302,94,407,160,112,25,0,0,7,0,0,11,8,33,160,151,351,85,464,130,40,9
"G41000500205021","2000","Oregon","41","Clackamas","005",,,"020502","1",,,"Block Group 1",0,0,9,0,0,9,0,8,85,19,111,52,193,78,30,18,6,0,9,0,0,17,0,23,80,55,96,51,265,76,7,10
"G41000500205022","2000","Oregon","41","Clackamas","005",,,"020502","2",,,"Block Group 2",0,0,9,17,9,0,0,0,102,33,329,162,962,380,142,44,6,19,0,20,0,0,0,15,223,147,384,125,1010,318,56,21
"G41000500205031","2000","Oregon","41","Clackamas","005",,,"020503","1",,,"Block Group 1",0,0,0,0,9,9,0,0,53,24,38,44,136,56,18,13,0,0,0,0,0,7,25,9,88,73,85,17,144,21,8,15
"G41000500205032","2000","Oregon","41","Clackamas","005",,,"020503","2",,,"Block Group 2",0,7,0,0,0,0,0,0,17,0,42,7,115,64,71,19,0,0,0,11,0,0,0,0,59,28,130,51,99,42,9,0
"G41000500206001","2000","Oregon","41","Clackamas","005",,,"020600","1",,,"Block Group 1",0,0,0,0,0,20,0,0,76,69,99,59,156,53,19,0,0,0,0,0,0,0,0,0,56,69,122,81,127,78,0,0
"G41000500206002","2000","Oregon","41","Clackamas","005",,,"020600","2",,,"Block Group 2",0,0,0,11,0,9,23,0,134,53,191,53,336,127,86,7,8,0,0,0,8,26,35,8,163,69,213,47,286,110,23,16
"G41000500206003","2000","Oregon","41","Clackamas","005",,,"020600","3",,,"Block Group 3",0,0,0,10,0,0,28,0,142,27,111,51,172,65,40,0,0,0,0,11,0,19,11,19,195,52,116,70,144,94,18,0
"G41000500207001","2000","Oregon","41","Clackamas","005",,,"020700","1",,,"Block Group 1",0,0,0,5,0,28,7,0,66,24,35,17,68,25,4,13,0,0,0,0,0,0,7,6,73,44,52,6,49,21,0,4
"G41000500207002","2000","Oregon","41","Clackamas","005",,,"020700","2",,,"Block Group 2",0,0,0,5,8,12,7,12,238,41,177,49,225,81,47,18,0,0,0,0,0,10,5,40,213,84,280,62,202,75,21,10
"G41000500208001","2000","Oregon","41","Clackamas","005",,,"020800","1",,,"Block Group 1",0,0,9,9,0,6,8,35,144,6,172,21,118,28,25,17,0,0,0,19,9,13,19,0,140,37,136,14,70,32,49,0
"G41000500208002","2000","Oregon","41","Clackamas","005",,,"020800","2",,,"Block Group 2",0,0,0,0,0,36,0,9,82,12,60,15,48,10,0,0,0,0,0,8,17,0,0,26,57,13,55,25,66,9,0,0
"G41000500208003","2000","Oregon","41","Clackamas","005",,,"020800","3",,,"Block Group 3",0,0,0,10,0,13,11,8,90,73,138,25,97,15,6,0,0,0,0,0,9,18,0,30,231,75,144,39,76,68,6,0
"G41000500209001","2000","Oregon","41","Clackamas","005",,,"020900","1",,,"Block Group 1",6,0,0,0,6,6,0,7,47,45,105,0,57,19,12,0,0,0,0,0,0,0,14,0,83,36,72,25,33,26,14,9
"G41000500209002","2000","Oregon","41","Clackamas","005",,,"020900","2",,,"Block Group 2",0,0,6,0,0,26,22,12,111,51,113,34,57,6,16,0,0,0,6,17,6,33,15,13,159,59,89,18,52,8,0,0
"G41000500209003","2000","Oregon","41","Clackamas","005",,,"020900","3",,,"Block Group 3",6,6,0,34,0,27,13,6,99,29,92,21,58,17,0,0,10,0,12,67,14,24,21,28,160,76,93,53,29,16,0,0
"G41000500210001","2000","Oregon","41","Clackamas","005",,,"021000","1",,,"Block Group 1",0,0,0,0,11,7,0,0,142,40,75,24,50,5,0,9,0,0,0,0,7,11,27,13,102,39,60,21,40,22,3,0
"G41000500210002","2000","Oregon","41","Clackamas","005",,,"021000","2",,,"Block Group 2",0,0,0,27,0,35,12,23,216,52,202,62,99,5,5,6,20,0,0,10,30,0,29,35,349,80,231,75,76,14,5,0
"G41000500210003","2000","Oregon","41","Clackamas","005",,,"021000","3",,,"Block Group 3",0,5,0,16,5,0,0,17,117,76,66,25,79,5,0,0,0,7,0,10,0,12,0,5,150,42,62,47,47,9,0,0
"G41000500211001","2000","Oregon","41","Clackamas","005",,,"021100","1",,,"Block Group 1",4,6,0,15,33,24,21,29,288,106,254,66,147,27,0,16,0,0,8,6,15,18,30,56,375,103,257,106,132,32,9,0
"G41000500211002","2000","Oregon","41","Clackamas","005",,,"021100","2",,,"Block Group 2",0,0,0,0,12,8,0,11,145,53,91,14,37,30,0,13,0,0,0,0,0,11,12,6,217,81,64,11,54,64,0,11
"G41000500211003","2000","Oregon","41","Clackamas","005",,,"021100","3",,,"Block Group 3",0,9,0,0,0,14,18,11,128,48,72,0,15,0,0,0,0,0,0,16,7,15,0,0,164,48,59,7,12,10,0,0
"G41000500212001","2000","Oregon","41","Clackamas","005",,,"021200","1",,,"Block Group 1",12,0,0,0,0,36,8,46,238,49,191,19,43,55,21,27,0,0,0,34,22,7,28,10,335,74,237,57,257,89,24,0
"G41000500212002","2000","Oregon","41","Clackamas","005",,,"021200","2",,,"Block Group 2",0,7,27,24,12,6,25,26,133,78,35,15,65,20,0,0,9,0,18,27,11,21,6,10,115,55,91,37,46,10,3,0
"G41000500213001","2000","Oregon","41","Clackamas","005",,,"021300","1",,,"Block Group 1",5,0,5,9,32,23,12,69,164,91,120,47,48,52,18,0,0,0,12,6,6,52,43,35,283,94,130,43,99,20,0,0
